change_type,doc_id,meeting_date,fiscal_year,source_system,doc_type,meeting_type,title
added,laserfiche__371901__minutes,2018-07-10,2018,laserfiche,minutes,regular,07-10-2018 Minutes
added,laserfiche__370991__minutes,2018-06-26,2018,laserfiche,minutes,regular,06-26-2018 Minutes
added,laserfiche__370148__minutes,2018-06-12,2018,laserfiche,minutes,regular,06-12-2018 Minutes
added,laserfiche__369256__minutes,2018-06-05,2018,laserfiche,minutes,regular,06-05-2018 Minutes
added,laserfiche__369049__minutes,2018-05-29,2018,laserfiche,minutes,special,05-29-2018 Minutes Special
added,laserfiche__369048__minutes,2018-05-24,2018,laserfiche,minutes,regular,05-24-2018 Minutes Joint Meeting
added,laserfiche__369047__minutes,2018-05-22,2018,laserfiche,minutes,regular,05-22-2018 Minutes
added,laserfiche__368250__minutes,2018-05-08,2018,laserfiche,minutes,regular,05-08-2018 Minutes
added,laserfiche__367429__minutes,2018-05-01,2018,laserfiche,minutes,regular,05-01-2018 Minutes
added,laserfiche__367179__minutes,2018-04-24,2018,laserfiche,minutes,regular,04-24-2018 Minutes
added,laserfiche__366913__minutes,2018-04-17,2018,laserfiche,minutes,regular,04-17-2018 Minutes
added,laserfiche__366914__minutes,2018-04-10,2018,laserfiche,minutes,regular,04-10-2018 Minutes
added,laserfiche__366915__minutes,2018-04-09,2018,laserfiche,minutes,regular,04-09-2018 Minutes
added,laserfiche__366286__minutes,2018-04-03,2018,laserfiche,minutes,regular,04-03-2018 Minutes
added,laserfiche__365511__minutes,2018-03-27,2018,laserfiche,minutes,other,03-27-2018 Mnutes
added,laserfiche__365510__minutes,2018-03-23,2018,laserfiche,minutes,regular,03-23-2018 Minutes
added,laserfiche__365092__minutes,2018-03-13,2018,laserfiche,minutes,regular,03-13-2018 Minutes
